name,value,year,lastValue,rank
Action,11205,2019.2,11204,1
Action,11204,2019.1,11003,1
Action,10286,2018.9,10038,1
Action,10038,2018.8,9761,1
Action,9761,2018.7,9481,1
Action,9481,2018.6,9210,1
Action,9210,2018.5,8934,1
Action,8934,2018.4,8663,1
Action,8663,2018.3,8436,1
Action,8436,2018.2,8093,1
Action,8093,2018.1,7821,1
Action,7033,2017.9,6789,1
Action,6789,2017.8,6540,1
Action,6540,2017.7,6274,1
Action,6274,2017.6,5975,1
Action,5975,2017.5,5707,1
Action,5707,2017.4,5475,1
Action,5475,2017.3,5329,1
Action,5329,2017.2,5136,1
Adventure,5249,2019.1,5148,2
Adventure,5249,2019.2,5249,2
Action,5136,2017.1,4987,1
Adventure,4781,2018.9,4670,2
Adventure,4670,2018.8,4521,2
Adventure,4521,2018.7,4402,2
Action,4472,2016.9,4269,1
Adventure,4402,2018.6,4255,2
Casual,4371,2019.1,4280,3
Casual,4371,2019.2,4371,3
Action,4269,2016.8,4093,1
Adventure,4255,2018.5,4139,2
Adventure,4139,2018.4,4002,2
Action,4093,2016.7,3892,1
Adventure,4002,2018.3,3882,2
Casual,3971,2018.9,3837,3
Action,3892,2016.6,3704,1
Adventure,3882,2018.2,3754,2
Casual,3837,2018.8,3682,3
Adventure,3754,2018.1,3613,2
Action,3704,2016.5,3511,1
Casual,3682,2018.7,3565,3
Casual,3565,2018.6,3427,3
Action,3511,2016.4,3341,1
Casual,3427,2018.5,3276,3
Action,3341,2016.3,3211,1
Casual,3276,2018.4,3130,3
Adventure,3244,2017.9,3113,2
Action,3211,2016.2,3082,1
Casual,3130,2018.3,2994,3
Adventure,3113,2017.8,3000,2
Action,3082,2016.1,2917,1
Adventure,3000,2017.7,2863,2
Casual,2994,2018.2,2865,3
Casual,2865,2018.1,2732,3
Adventure,2863,2017.6,2753,2
Adventure,2753,2017.5,2644,2
Adventure,2644,2017.4,2539,2
Indie,2616,2019.1,2560,4
Indie,2616,2019.2,2616,4
Action,2589,2015.9,2488,1
Adventure,2539,2017.3,2469,2
Action,2488,2015.8,2398,1
Adventure,2469,2017.2,2390,2
Action,2398,2015.7,2294,1
Adventure,2390,2017.1,2298,2
Indie,2354,2018.9,2292,4
Casual,2335,2017.9,2226,3
Action,2294,2015.6,2172,1
Indie,2292,2018.8,2214,4
Casual,2226,2017.8,2107,3
Indie,2214,2018.7,2132,4
Action,2172,2015.5,2066,1
Indie,2132,2018.6,2060,4
Casual,2107,2017.7,1974,3
Action,2066,2015.4,1935,1
Indie,2060,2018.5,1990,4
Adventure,2035,2016.9,1952,2
Indie,1990,2018.4,1924,4
Casual,1974,2017.6,1867,3
Adventure,1952,2016.8,1873,2
Action,1935,2015.3,1842,1
Indie,1924,2018.3,1869,4
Adventure,1873,2016.7,1781,2
Indie,1869,2018.2,1792,4
Casual,1867,2017.5,1754,3
Action,1842,2015.2,1751,1
Indie,1792,2018.1,1739,4
Adventure,1781,2016.6,1692,2
Casual,1754,2017.4,1669,3
Action,1751,2015.1,1645,1
Adventure,1692,2016.5,1592,2
Casual,1669,2017.3,1601,3
Casual,1601,2017.2,1549,3
Adventure,1592,2016.4,1528,2
Indie,1582,2017.9,1511,4
Casual,1549,2017.1,1494,3
Adventure,1528,2016.3,1458,2
Indie,1511,2017.8,1459,4
Indie,1459,2017.7,1401,4
Adventure,1458,2016.2,1406,2
Action,1440,2014.9,1388,1
Adventure,1406,2016.1,1338,2
Indie,1401,2017.6,1343,4
Action,1388,2014.8,1336,1
Indie,1343,2017.5,1290,4
Action,1336,2014.7,1271,1
Casual,1329,2016.9,1254,3
Indie,1290,2017.4,1237,4
Action,1271,2014.6,1227,1
Casual,1254,2016.8,1183,3
Indie,1237,2017.3,1199,4
Action,1227,2014.5,1179,1
Indie,1199,2017.2,1168,4
Casual,1183,2016.7,1108,3
Action,1179,2014.4,1115,1
Adventure,1175,2015.9,1141,2
Indie,1168,2017.1,1140,4
Adventure,1141,2015.8,1093,2
Action,1115,2014.3,1066,1
Casual,1108,2016.6,1034,3
Adventure,1093,2015.7,1022,2
Action,1066,2014.2,979,1
Casual,1034,2016.5,971,3
Indie,1024,2016.9,988,4
Adventure,1022,2015.6,964,2
Indie,988,2016.8,944,4
Action,979,2014.1,928,1
Casual,971,2016.4,921,3
Adventure,964,2015.5,911,2
Indie,944,2016.7,899,4
Casual,921,2016.3,855,3
Adventure,911,2015.4,862,2
Indie,899,2016.6,859,4
Adventure,862,2015.3,829,2
Indie,859,2016.5,819,4
Casual,855,2016.2,804,3
Adventure,829,2015.2,764,2
Indie,819,2016.4,787,4
Casual,804,2016.1,743,3
Action,797,2013.9,777,1
Indie,787,2016.3,766,4
Action,777,2013.8,751,1
Indie,766,2016.2,740,4
Adventure,764,2015.1,726,2
Action,751,2013.7,721,1
Indie,740,2016.1,699,4
Action,721,2013.6,701,1
Violent,709,2019.1,709,5
Violent,709,2019.2,709,5
Violent,708,2018.9,707,5
Violent,707,2018.7,704,5
Violent,707,2018.8,707,5
Violent,704,2018.6,694,5
Action,701,2013.5,682,1
Violent,694,2018.5,669,5
Action,682,2013.4,671,1
Action,671,2013.3,660,1
Violent,669,2018.4,631,5
Action,660,2013.2,645,1
Action,645,2013.1,628,1
Casual,642,2015.9,619,3
Violent,631,2018.3,610,5
Simulation,630,2019.1,624,6
Simulation,630,2019.2,630,6
Indie,620,2015.9,592,4
Casual,619,2015.8,594,3
Violent,610,2018.2,585,5
Adventure,602,2014.9,571,2
Action,600,2012.9,591,1
Simulation,597,2018.9,585,6
Casual,594,2015.7,573,3
Indie,592,2015.8,566,4
Action,591,2012.8,570,1
Violent,585,2018.1,544,5
Simulation,585,2018.8,569,6
Casual,573,2015.6,539,3
Adventure,571,2014.8,540,2
Action,570,2012.7,550,1
Simulation,569,2018.7,555,6
Indie,566,2015.7,532,4
Simulation,555,2018.6,539,6
Action,550,2012.6,529,1
Adventure,540,2014.7,493,2
Casual,539,2015.5,505,3
Simulation,539,2018.5,531,6
Indie,532,2015.6,508,4
Strategy,532,2019.1,527,7
Strategy,532,2019.2,532,7
Simulation,531,2018.4,525,6
Action,529,2012.5,508,1
Simulation,525,2018.3,506,6
Strategy,514,2018.9,506,7
Action,508,2012.4,501,1
Indie,508,2015.5,475,4
Simulation,506,2018.2,499,6
Strategy,506,2018.8,497,7
Casual,505,2015.4,478,3
Action,501,2012.3,492,1
Simulation,499,2018.1,489,6
Strategy,497,2018.7,489,7
Adventure,493,2014.6,473,2
Action,492,2012.2,479,1
Strategy,489,2018.6,485,7
Strategy,485,2018.5,478,7
Action,479,2012.1,465,1
Casual,478,2015.3,451,3
Strategy,478,2018.4,472,7
Indie,475,2015.4,451,4
Adventure,473,2014.5,452,2
Strategy,472,2018.3,469,7
Strategy,469,2018.2,464,7
Strategy,464,2018.1,459,7
Adventure,452,2014.4,413,2
Casual,451,2015.2,427,3
Indie,451,2015.3,429,4
Simulation,448,2017.9,441,6
Strategy,447,2017.9,441,7
Simulation,441,2017.8,433,6
Strategy,441,2017.8,438,7
Action,440,2011.9,436,1
Violent,439,2017.9,407,5
Strategy,438,2017.7,431,7
Action,436,2011.8,428,1
Simulation,433,2017.7,417,6
Strategy,431,2017.6,420,7
Indie,429,2015.2,392,4
Action,428,2011.7,416,1
Casual,427,2015.1,404,3
Strategy,420,2017.5,408,7
Simulation,417,2017.6,411,6
Action,416,2011.6,403,1
Adventure,413,2014.3,388,2
Simulation,411,2017.5,407,6
Strategy,408,2017.4,395,7
Simulation,407,2017.4,398,6
Violent,407,2017.8,370,5
RPG,406,2019.1,402,8
RPG,406,2019.2,406,8
Action,403,2011.5,394,1
Simulation,398,2017.3,389,6
Strategy,395,2017.3,388,7
Free to Play,395,2019.1,386,9
Free to Play,395,2019.2,395,9
Action,394,2011.4,387,1
Indie,392,2015.1,373,4
Simulation,389,2017.2,383,6
Adventure,388,2014.2,339,2
Strategy,388,2017.2,381,7
Action,387,2011.3,379,1
Simulation,383,2017.1,375,6
Strategy,381,2017.1,373,7
Action,379,2011.2,368,1
Violent,370,2017.7,329,5
RPG,369,2018.9,358,8
Action,368,2011.1,359,1
RPG,358,2018.8,350,8
Casual,357,2014.9,348,3
Simulation,352,2016.9,337,6
Free to Play,351,2018.9,340,9
RPG,350,2018.7,341,8
Casual,348,2014.8,339,3
Strategy,345,2016.9,335,7
RPG,341,2018.6,324,8
Free to Play,340,2018.8,328,9
Action,339,2010.9,335,1
Adventure,339,2014.1,287,2
Casual,339,2014.7,327,3
Simulation,337,2016.8,324,6
Action,335,2010.8,328,1
Strategy,335,2016.8,331,7
Strategy,331,2016.7,324,7
Violent,329,2017.6,290,5
Action,328,2010.7,315,1
Free to Play,328,2018.7,316,9
Casual,327,2014.6,304,3
Strategy,324,2016.6,319,7
Simulation,324,2016.7,313,6
RPG,324,2018.5,320,8
RPG,320,2018.4,314,8
Strategy,319,2016.5,313,7
Free to Play,316,2018.6,303,9
Action,315,2010.6,309,1
RPG,314,2018.3,308,8
Strategy,313,2016.4,308,7
Simulation,313,2016.6,298,6
Action,309,2010.5,306,1
Strategy,308,2016.3,304,7
RPG,308,2018.2,303,8
Indie,307,2014.9,280,4
Action,306,2010.4,299,1
Casual,304,2014.5,294,3
Strategy,304,2016.2,301,7
RPG,303,2018.1,300,8
Free to Play,303,2018.5,292,9
Strategy,301,2016.1,294,7
Action,299,2010.3,290,1
Simulation,298,2016.5,289,6
Casual,294,2014.4,269,3
Free to Play,292,2018.4,284,9
Action,290,2010.2,287,1
Violent,290,2017.5,238,5
Simulation,289,2016.4,282,6
Action,287,2010.1,279,1
RPG,285,2017.9,276,8
Free to Play,284,2018.3,273,9
Simulation,282,2016.3,273,6
Indie,280,2014.8,266,4
Strategy,276,2015.9,273,7
RPG,276,2017.8,266,8
Strategy,273,2015.8,269,7
Simulation,273,2016.2,265,6
Free to Play,273,2018.2,265,9
Casual,269,2014.3,258,3
Strategy,269,2015.7,267,7
