name,value,year,lastValue,rank
Action,11205,2019.05,11204,1
Action,11204,2019.04,11003,1
Action,11003,2019.03,10754,1
Action,10754,2019.02,10508,1
Action,10508,2019.01,10286,1
Action,10286,2018.12,10038,1
Action,10038,2018.11,9761,1
Action,9761,2018.1,9481,1
Action,9481,2018.09,9210,1
Action,9210,2018.08,8934,1
Action,8934,2018.07,8663,1
Action,8663,2018.06,8436,1
Action,8436,2018.05,8093,1
Action,8093,2018.04,7821,1
Action,7821,2018.03,7511,1
Action,7511,2018.02,7236,1
Action,7236,2018.01,7033,1
Action,7033,2017.12,6789,1
Action,6789,2017.11,6540,1
Action,6540,2017.1,6274,1
Action,6274,2017.09,5975,1
Action,5975,2017.08,5707,1
Action,5707,2017.07,5475,1
Action,5475,2017.06,5329,1
Action,5329,2017.05,5136,1
Adventure,5249,2019.04,5148,2
Adventure,5249,2019.05,5249,2
Adventure,5148,2019.03,5029,2
Action,5136,2017.04,4987,1
Adventure,5029,2019.02,4909,2
Action,4987,2017.03,4809,1
Adventure,4909,2019.01,4781,2
Action,4809,2017.02,4624,1
Adventure,4781,2018.12,4670,2
Adventure,4670,2018.11,4521,2
Action,4624,2017.01,4472,1
Adventure,4521,2018.1,4402,2
Action,4472,2016.12,4269,1
Adventure,4402,2018.09,4255,2
Casual,4371,2019.04,4280,3
Casual,4371,2019.05,4371,3
Casual,4280,2019.03,4171,3
Action,4269,2016.11,4093,1
Adventure,4255,2018.08,4139,2
Casual,4171,2019.02,4068,3
Adventure,4139,2018.07,4002,2
Action,4093,2016.1,3892,1
Casual,4068,2019.01,3971,3
Adventure,4002,2018.06,3882,2
Casual,3971,2018.12,3837,3
Action,3892,2016.09,3704,1
Adventure,3882,2018.05,3754,2
Casual,3837,2018.11,3682,3
Adventure,3754,2018.04,3613,2
Action,3704,2016.08,3511,1
Casual,3682,2018.1,3565,3
Adventure,3613,2018.03,3476,2
Casual,3565,2018.09,3427,3
Action,3511,2016.07,3341,1
Adventure,3476,2018.02,3353,2
Casual,3427,2018.08,3276,3
Adventure,3353,2018.01,3244,2
Action,3341,2016.06,3211,1
Casual,3276,2018.07,3130,3
Adventure,3244,2017.12,3113,2
Action,3211,2016.05,3082,1
Casual,3130,2018.06,2994,3
Adventure,3113,2017.11,3000,2
Action,3082,2016.04,2917,1
Adventure,3000,2017.1,2863,2
Casual,2994,2018.05,2865,3
Action,2917,2016.03,2790,1
Casual,2865,2018.04,2732,3
Adventure,2863,2017.09,2753,2
Action,2790,2016.02,2689,1
Adventure,2753,2017.08,2644,2
Casual,2732,2018.03,2581,3
Action,2689,2016.01,2589,1
Adventure,2644,2017.07,2539,2
Indie,2616,2019.04,2560,4
Indie,2616,2019.05,2616,4
Action,2589,2015.12,2488,1
Casual,2581,2018.02,2445,3
Indie,2560,2019.03,2493,4
Adventure,2539,2017.06,2469,2
Indie,2493,2019.02,2423,4
Action,2488,2015.11,2398,1
Adventure,2469,2017.05,2390,2
Casual,2445,2018.01,2335,3
Indie,2423,2019.01,2354,4
Action,2398,2015.1,2294,1
Adventure,2390,2017.04,2298,2
Indie,2354,2018.12,2292,4
Casual,2335,2017.12,2226,3
Adventure,2298,2017.03,2203,2
Action,2294,2015.09,2172,1
Indie,2292,2018.11,2214,4
Casual,2226,2017.11,2107,3
Indie,2214,2018.1,2132,4
Adventure,2203,2017.02,2107,2
Action,2172,2015.08,2066,1
Indie,2132,2018.09,2060,4
Adventure,2107,2017.01,2035,2
Casual,2107,2017.1,1974,3
Action,2066,2015.07,1935,1
Indie,2060,2018.08,1990,4
Adventure,2035,2016.12,1952,2
Indie,1990,2018.07,1924,4
Casual,1974,2017.09,1867,3
Adventure,1952,2016.11,1873,2
Action,1935,2015.06,1842,1
Indie,1924,2018.06,1869,4
Adventure,1873,2016.1,1781,2
Indie,1869,2018.05,1792,4
Casual,1867,2017.08,1754,3
Action,1842,2015.05,1751,1
Indie,1792,2018.04,1739,4
Adventure,1781,2016.09,1692,2
Casual,1754,2017.07,1669,3
Action,1751,2015.04,1645,1
Indie,1739,2018.03,1678,4
Adventure,1692,2016.08,1592,2
Indie,1678,2018.02,1625,4
Casual,1669,2017.06,1601,3
Action,1645,2015.03,1579,1
Indie,1625,2018.01,1582,4
Casual,1601,2017.05,1549,3
Adventure,1592,2016.07,1528,2
Indie,1582,2017.12,1511,4
Action,1579,2015.02,1502,1
Casual,1549,2017.04,1494,3
Adventure,1528,2016.06,1458,2
Indie,1511,2017.11,1459,4
Action,1502,2015.01,1440,1
Casual,1494,2017.03,1426,3
Indie,1459,2017.1,1401,4
Adventure,1458,2016.05,1406,2
Action,1440,2014.12,1388,1
Casual,1426,2017.02,1370,3
Adventure,1406,2016.04,1338,2
Indie,1401,2017.09,1343,4
Action,1388,2014.11,1336,1
Casual,1370,2017.01,1329,3
Indie,1343,2017.08,1290,4
Adventure,1338,2016.03,1269,2
Action,1336,2014.1,1271,1
Casual,1329,2016.12,1254,3
Indie,1290,2017.07,1237,4
Action,1271,2014.09,1227,1
Adventure,1269,2016.02,1214,2
Casual,1254,2016.11,1183,3
Indie,1237,2017.06,1199,4
Action,1227,2014.08,1179,1
Adventure,1214,2016.01,1175,2
Indie,1199,2017.05,1168,4
Casual,1183,2016.1,1108,3
Action,1179,2014.07,1115,1
Adventure,1175,2015.12,1141,2
Indie,1168,2017.04,1140,4
Adventure,1141,2015.11,1093,2
Indie,1140,2017.03,1096,4
Action,1115,2014.06,1066,1
Casual,1108,2016.09,1034,3
Indie,1096,2017.02,1055,4
Adventure,1093,2015.1,1022,2
Action,1066,2014.05,979,1
Indie,1055,2017.01,1024,4
Casual,1034,2016.08,971,3
Indie,1024,2016.12,988,4
Adventure,1022,2015.09,964,2
Indie,988,2016.11,944,4
Action,979,2014.04,928,1
Casual,971,2016.07,921,3
Adventure,964,2015.08,911,2
Indie,944,2016.1,899,4
Action,928,2014.03,873,1
Casual,921,2016.06,855,3
Adventure,911,2015.07,862,2
Indie,899,2016.09,859,4
Action,873,2014.02,829,1
Adventure,862,2015.06,829,2
Indie,859,2016.08,819,4
Casual,855,2016.05,804,3
Action,829,2014.01,797,1
Adventure,829,2015.05,764,2
Indie,819,2016.07,787,4
Casual,804,2016.04,743,3
Action,797,2013.12,777,1
Indie,787,2016.06,766,4
Action,777,2013.11,751,1
Indie,766,2016.05,740,4
Adventure,764,2015.04,726,2
Action,751,2013.1,721,1
Casual,743,2016.03,695,3
Indie,740,2016.04,699,4
Adventure,726,2015.03,692,2
Action,721,2013.09,701,1
Violent,709,2019.01,708,5
Violent,709,2019.02,709,5
Violent,709,2019.03,709,5
Violent,709,2019.04,709,5
Violent,709,2019.05,709,5
Violent,708,2018.12,707,5
Violent,707,2018.1,704,5
Violent,707,2018.11,707,5
Violent,704,2018.09,694,5
Action,701,2013.08,682,1
Indie,699,2016.03,666,4
Casual,695,2016.02,668,3
Violent,694,2018.08,669,5
Adventure,692,2015.02,644,2
Action,682,2013.07,671,1
Action,671,2013.06,660,1
Violent,669,2018.07,631,5
Casual,668,2016.01,642,3
Indie,666,2016.02,641,4
Action,660,2013.05,645,1
Action,645,2013.04,628,1
Adventure,644,2015.01,602,2
Casual,642,2015.12,619,3
Indie,641,2016.01,620,4
Violent,631,2018.06,610,5
Simulation,630,2019.04,624,6
Simulation,630,2019.05,630,6
Action,628,2013.03,615,1
Simulation,624,2019.03,614,6
Indie,620,2015.12,592,4
Casual,619,2015.11,594,3
Action,615,2013.02,607,1
Simulation,614,2019.02,608,6
Violent,610,2018.05,585,5
Simulation,608,2019.01,597,6
Action,607,2013.01,600,1
Adventure,602,2014.12,571,2
Action,600,2012.12,591,1
Simulation,597,2018.12,585,6
Casual,594,2015.1,573,3
Indie,592,2015.11,566,4
Action,591,2012.11,570,1
Violent,585,2018.04,544,5
Simulation,585,2018.11,569,6
Casual,573,2015.09,539,3
Adventure,571,2014.11,540,2
Action,570,2012.1,550,1
Simulation,569,2018.1,555,6
Indie,566,2015.1,532,4
Simulation,555,2018.09,539,6
Action,550,2012.09,529,1
