name,value,year,lastValue,rank
Action,1011215,2019.05,1011214,1
Adventure,1005249,2019.05,1005249,2
Casual,1004371,2019.05,1004371,3
Indie,1002616,2019.05,1002616,4
Violent,1000719,2019.05,1000719,5
Simulation,1000631,2019.05,1000631,6
Strategy,1000532,2019.05,1000532,7
RPG,1000416,2019.05,1000416,8
Free to Play,1000395,2019.05,1000395,9
Sexual Content,1000245,2019.05,1000245,10
Action,1011214,2019.04,1011113,1
Adventure,1005249,2019.04,1005148,2
Casual,1004371,2019.04,1004281,3
Indie,1002616,2019.04,1002561,4
Violent,1000719,2019.04,1000719,5
Simulation,1000631,2019.04,1000624,6
Strategy,1000532,2019.04,1000527,7
RPG,1000416,2019.04,1000412,8
Free to Play,1000395,2019.04,1000386,9
Sexual Content,1000245,2019.04,1000245,10
Action,1011113,2019.03,1011754,1
Adventure,1005148,2019.03,1005129,2
Casual,1004281,2019.03,1004171,3
Indie,1002561,2019.03,1002493,4
Violent,1000719,2019.03,1000719,5
Simulation,1000624,2019.03,1000614,6
Strategy,1000527,2019.03,1000522,7
RPG,1000412,2019.03,1000391,8
Free to Play,1000386,2019.03,1000376,9
Sexual Content,1000245,2019.03,1000245,10
Action,1011754,2019.02,1011518,1
Adventure,1005129,2019.02,1004919,2
Casual,1004171,2019.02,1004168,3
Indie,1002493,2019.02,1002423,4
Violent,1000719,2019.02,1000719,5
Simulation,1000614,2019.02,1000618,6
Strategy,1000522,2019.02,1000519,7
RPG,1000391,2019.02,1000381,8
Free to Play,1000376,2019.02,1000359,9
Sexual Content,1000245,2019.02,1000245,10
Action,1011518,2019.01,1011286,1
Adventure,1004919,2019.01,1004781,2
Casual,1004168,2019.01,1003971,3
Indie,1002423,2019.01,1002354,4
Violent,1000719,2019.01,1000718,5
Simulation,1000618,2019.01,1000597,6
Strategy,1000519,2019.01,1000514,7
RPG,1000381,2019.01,1000369,8
Free to Play,1000359,2019.01,1000351,9
Sexual Content,1000245,2019.01,1000245,10
Action,1011286,2018.12,1011138,1
Adventure,1004781,2018.12,1004671,2
Casual,1003971,2018.12,1003837,3
Indie,1002354,2018.12,1002292,4
Violent,1000718,2018.12,1000717,5
Simulation,1000597,2018.12,1000585,6
Strategy,1000514,2018.12,1000516,7
RPG,1000369,2018.12,1000358,8
Free to Play,1000351,2018.12,1000341,9
Sexual Content,1000245,2018.12,1000245,10
Action,1011138,2018.11,1009761,1
Adventure,1004671,2018.11,1004521,2
Casual,1003837,2018.11,1003682,3
Indie,1002292,2018.11,1002214,4
Violent,1000717,2018.11,1000717,5
Simulation,1000585,2018.11,1000569,6
Strategy,1000516,2018.11,1000497,7
RPG,1000358,2018.11,1000351,8
Free to Play,1000341,2018.11,1000328,9
Sexual Content,1000245,2018.11,1000245,10
Action,1009761,2018.10,1009481,1
