name,value,year,lastValue,rank
Free to Play,241,2018.01,233,9
Sexual Content,161,2018.01,152,10
Action,7133,2017.12,6789,1
Adventure,3244,2017.12,3113,2
Casual,2335,2017.12,2226,3
Indie,1582,2017.12,1511,4
Simulation,448,2017.12,441,6
Strategy,447,2017.12,441,7
Violent,439,2017.12,417,5
RPG,285,2017.12,276,8
Free to Play,233,2017.12,224,9
Sexual Content,152,2017.12,144,10
Action,6789,2017.11,6541,1
Adventure,3113,2017.11,3111,2
Casual,2226,2017.11,2117,3
Indie,1511,2017.11,1459,4
Simulation,441,2017.11,433,6
Strategy,441,2017.11,438,7
Violent,417,2017.11,371,5
RPG,276,2017.11,266,8
Free to Play,224,2017.11,219,9
Sexual Content,144,2017.11,131,10
Action,6541,2017.1,6274,1
Adventure,3111,2017.1,2863,2
Casual,2117,2017.1,1974,3
Indie,1459,2017.1,1411,4
Strategy,438,2017.1,431,7
Simulation,433,2017.1,417,6
Violent,371,2017.1,329,5
RPG,266,2017.1,257,8
Free to Play,219,2017.1,211,9
Sexual Content,131,2017.1,121,10
Action,6274,2017.09,5975,1
Adventure,2863,2017.09,2753,2
Casual,1974,2017.09,1867,3
Indie,1411,2017.09,1343,4
Strategy,431,2017.09,421,7
Simulation,417,2017.09,411,6
Violent,329,2017.09,291,5
RPG,257,2017.09,251,8
Free to Play,211,2017.09,197,9
Sexual Content,121,2017.09,114,10
Action,5975,2017.08,5717,1
Adventure,2753,2017.08,2644,2
Casual,1867,2017.08,1754,3
Indie,1343,2017.08,1291,4
Strategy,421,2017.08,418,7
Simulation,411,2017.08,417,6
Violent,291,2017.08,238,5
RPG,251,2017.08,247,8
Free to Play,197,2017.08,187,9
Sexual Content,114,2017.08,96,10
Action,5717,2017.07,5475,1
Adventure,2644,2017.07,2539,2
Casual,1754,2017.07,1669,3
Indie,1291,2017.07,1237,4
Strategy,418,2017.07,395,7
Simulation,417,2017.07,398,6
RPG,247,2017.07,244,8
Violent,238,2017.07,211,5
Free to Play,187,2017.07,181,9
Sexual Content,96,2017.07,86,10
Action,5475,2017.06,5329,1
Adventure,2539,2017.06,2469,2
Casual,1669,2017.06,1611,3
Indie,1237,2017.06,1199,4
Simulation,398,2017.06,389,6
Strategy,395,2017.06,388,7
RPG,244,2017.06,239,8
Violent,211,2017.06,193,5
Free to Play,181,2017.06,176,9
Sexual Content,86,2017.06,81,10
Action,5329,2017.05,5136,1
Adventure,2469,2017.05,2391,2
Casual,1611,2017.05,1549,3
Indie,1199,2017.05,1168,4
Simulation,389,2017.05,383,6
Strategy,388,2017.05,381,7
RPG,239,2017.05,233,8
Violent,193,2017.05,166,5
Free to Play,176,2017.05,172,9
Sexual Content,81,2017.05,73,10
Action,5136,2017.04,4987,1
Adventure,2391,2017.04,2298,2
Casual,1549,2017.04,1494,3
Indie,1168,2017.04,1141,4
Simulation,383,2017.04,375,6
Strategy,381,2017.04,373,7
RPG,233,2017.04,226,8
Free to Play,172,2017.04,164,9
Violent,166,2017.04,146,5
Sexual Content,73,2017.04,68,10
Action,4987,2017.03,4819,1
Adventure,2298,2017.03,2213,2
Casual,1494,2017.03,1426,3
Indie,1141,2017.03,1196,4
Simulation,375,2017.03,367,6
Strategy,373,2017.03,366,7
RPG,226,2017.03,222,8
Free to Play,164,2017.03,161,9
Violent,146,2017.03,119,5
Sexual Content,68,2017.03,57,10
Action,4819,2017.02,4624,1
Adventure,2213,2017.02,2117,2
Casual,1426,2017.02,1371,3
Indie,1196,2017.02,1155,4
Simulation,367,2017.02,359,6
Strategy,366,2017.02,357,7
RPG,222,2017.02,219,8
Free to Play,161,2017.02,151,9
Violent,119,2017.02,113,5
Sexual Content,57,2017.02,52,10
Action,4624,2017.01,4472,1
Adventure,2117,2017.01,2135,2
Casual,1371,2017.01,1329,3
Indie,1155,2017.01,1124,4
Simulation,359,2017.01,352,6
Strategy,357,2017.01,345,7
RPG,219,2017.01,216,8
Free to Play,151,2017.01,151,9
Violent,113,2017.01,78,5
Sexual Content,52,2017.01,47,10
Action,4472,2016.12,4269,1
Adventure,2135,2016.12,1952,2
Casual,1329,2016.12,1254,3
Indie,1124,2016.12,988,4
Simulation,352,2016.12,337,6
Strategy,345,2016.12,335,7
RPG,216,2016.12,219,8
Free to Play,151,2016.12,141,9
Violent,78,2016.12,53,5
Sexual Content,47,2016.12,41,10
Action,4269,2016.11,4193,1
Adventure,1952,2016.11,1873,2
Casual,1254,2016.11,1183,3
Indie,988,2016.11,944,4
Simulation,337,2016.11,324,6
Strategy,335,2016.11,331,7
RPG,219,2016.11,217,8
Free to Play,141,2016.11,131,9
Violent,53,2016.11,39,5
Sexual Content,41,2016.11,36,10
Action,4193,2016.1,3892,1
Adventure,1873,2016.1,1781,2
Casual,1183,2016.1,1118,3
Indie,944,2016.1,899,4
Strategy,331,2016.1,324,7
Simulation,324,2016.1,313,6
RPG,217,2016.1,213,8
Free to Play,131,2016.1,119,9
Violent,39,2016.1,29,5
Sexual Content,36,2016.1,29,10
Action,3892,2016.09,3714,1
Adventure,1781,2016.09,1692,2
Casual,1118,2016.09,1134,3
Indie,899,2016.09,859,4
Strategy,324,2016.09,319,7
Simulation,313,2016.09,298,6
RPG,213,2016.09,211,8
Free to Play,119,2016.09,116,9
Violent,29,2016.09,27,5
Sexual Content,29,2016.09,28,10
Action,3714,2016.08,3511,1
Adventure,1692,2016.08,1592,2
Casual,1134,2016.08,971,3
Indie,859,2016.08,819,4
Strategy,319,2016.08,313,7
Simulation,298,2016.08,289,6
RPG,211,2016.08,192,8
Free to Play,116,2016.08,111,9
Sexual Content,28,2016.08,26,10
Violent,27,2016.08,24,5
Action,3511,2016.07,3341,1
Adventure,1592,2016.07,1528,2
Casual,971,2016.07,921,3
Indie,819,2016.07,787,4
Strategy,313,2016.07,318,7
Simulation,289,2016.07,282,6
RPG,192,2016.07,186,8
Free to Play,111,2016.07,114,9
Sexual Content,26,2016.07,25,10
Violent,24,2016.07,21,5
Action,3341,2016.06,3211,1
Adventure,1528,2016.06,1458,2
Casual,921,2016.06,855,3
Indie,787,2016.06,766,4
Strategy,318,2016.06,314,7
Simulation,282,2016.06,273,6
RPG,186,2016.06,183,8
Free to Play,114,2016.06,99,9
Sexual Content,25,2016.06,21,10
Violent,21,2016.06,19,5
Action,3211,2016.05,3182,1
Adventure,1458,2016.05,1416,2
Casual,855,2016.05,814,3
Indie,766,2016.05,741,4
Strategy,314,2016.05,311,7
Simulation,273,2016.05,265,6
RPG,183,2016.05,181,8
Free to Play,99,2016.05,92,9
Sexual Content,21,2016.05,21,10
Violent,19,2016.05,16,5
Action,3182,2016.04,2917,1
Adventure,1416,2016.04,1338,2
Casual,814,2016.04,743,3
Indie,741,2016.04,699,4
Strategy,311,2016.04,294,7
Simulation,265,2016.04,258,6
RPG,181,2016.04,178,8
Free to Play,92,2016.04,86,9
Sexual Content,21,2016.04,18,10
Violent,16,2016.04,15,5
Action,2917,2016.03,2791,1
Adventure,1338,2016.03,1269,2
Casual,743,2016.03,695,3
Indie,699,2016.03,666,4
Strategy,294,2016.03,286,7
Simulation,258,2016.03,248,6
RPG,178,2016.03,176,8
Free to Play,86,2016.03,75,9
Sexual Content,18,2016.03,15,10
Violent,15,2016.03,15,5
Action,2791,2016.02,2689,1
Adventure,1269,2016.02,1214,2
Casual,695,2016.02,668,3
Indie,666,2016.02,641,4
Strategy,286,2016.02,279,7
Simulation,248,2016.02,244,6
RPG,176,2016.02,171,8
Free to Play,75,2016.02,71,9
Violent,15,2016.02,15,5
Sexual Content,15,2016.02,13,10
Action,2689,2016.01,2589,1
Adventure,1214,2016.01,1175,2
Casual,668,2016.01,642,3
Indie,641,2016.01,621,4
Strategy,279,2016.01,276,7
Simulation,244,2016.01,235,6
RPG,171,2016.01,169,8
Free to Play,71,2016.01,69,9
Violent,15,2016.01,14,5
Sexual Content,13,2016.01,13,10
Action,2589,2015.12,2488,1
Adventure,1175,2015.12,1141,2
Casual,642,2015.12,619,3
Indie,621,2015.12,592,4
Strategy,276,2015.12,273,7
Simulation,235,2015.12,231,6
RPG,169,2015.12,161,8
Free to Play,69,2015.12,64,9
Violent,14,2015.12,13,5
Sexual Content,13,2015.12,12,10
Action,2488,2015.11,2398,1
Adventure,1141,2015.11,1193,2
Casual,619,2015.11,594,3
Indie,592,2015.11,566,4
Strategy,273,2015.11,269,7
Simulation,231,2015.11,223,6
RPG,161,2015.11,157,8
Free to Play,64,2015.11,61,9
Violent,13,2015.11,13,5
Sexual Content,12,2015.11,11,10
Action,2398,2015.1,2294,1
Adventure,1193,2015.1,1122,2
Casual,594,2015.1,573,3
Indie,566,2015.1,532,4
Strategy,269,2015.1,267,7
Simulation,223,2015.1,218,6
RPG,157,2015.1,151,8
Free to Play,61,2015.1,61,9
Violent,13,2015.1,13,5
Sexual Content,11,2015.1,11,10
Action,2294,2015.09,2172,1
Adventure,1122,2015.09,964,2
Casual,573,2015.09,539,3
Indie,532,2015.09,518,4
Strategy,267,2015.09,263,7
Simulation,218,2015.09,215,6
RPG,151,2015.09,148,8
Free to Play,61,2015.09,58,9
Violent,13,2015.09,12,5
Sexual Content,11,2015.09,11,10
Action,2172,2015.08,2166,1
Adventure,964,2015.08,911,2
Casual,539,2015.08,515,3
Indie,518,2015.08,475,4
Strategy,263,2015.08,261,7
Simulation,215,2015.08,219,6
RPG,148,2015.08,145,8
Free to Play,58,2015.08,53,9
Violent,12,2015.08,11,5
Sexual Content,11,2015.08,7,10
Action,2166,2015.07,1935,1
Adventure,911,2015.07,862,2
Casual,515,2015.07,478,3
Indie,475,2015.07,451,4
Strategy,261,2015.07,256,7
